PayeeCustomerAccount,y,Sales3,Sales14,Sales27,Sales35,Sales36,Sales48,tier3,tier14,tier27,tier35,tier36,tier48,n_zeros,tier_gap,prods,State,City,pct_ret,Florfenicol_Family,Reproduction_Hormones,Total_Bios,All_Other,Panacur_Safeguard,Total_Implants,Zuprevo,Mastitis,Biologicals,Pharmaceuticals,manual_sales,enrol_batch,inh_tier,cluster
0010053254,1,0,0,0,0,0,2757.02,0,0,0,0,0,0,5,0.5515143028605721,5,OK,City 12367,-0,0,0,350.35,0,994.5,0,1412.17,0,0,0,1,3,1,1
0010406667,1,0,0,0,2620,2620,2620,0,0,0,0,0,0,5,0.5241048209641929,2,MT,City 11125,-0,0,0,2620,0,0,0,0,0,0,0,0,3,1,2
0010156349,1,1637.5,3362.9,3362.9,4021.3,7113.5,7213.58,0,0,0,0,1,1,1,0.11068453422671133,6,NY,City 7876,-0,67.32,4875.94,2170.24,100.08,0,0,0,0,0,0,0,3,1,6
0010140294,1,313.08,1614.28,2320.03,2507.29,3832.1,4521.24,0,0,0,0,0,0,0,0.9044288857771554,11,MS,City 7912,-0,0,0,2006.79,303.8,1694.4499999999998,516.2,0,0,0,0,0,3,1,5
0010040560,6,23190,41010,120662.24,143750.14,169239.14,191942.64,1,2,4,4,4,4,0,0.9194355943559434,13,TX,City 5337,-0,8640,0,12584.84,0,0,170717.8,0,0,0,0,0,3,6,5
0010337783,1,0,0,0,0,718.18,718.18,0,0,0,0,0,0,5,0.1436647329465893,3,MT,City 8415,-0,0,0,718.18,0,0,0,0,0,0,0,0,3,1,6
0010230579,1,0,0,3263.04,3687.87,3687.87,9739.3,0,0,0,0,0,1,3,0.23697684884244208,4,SD,City 14678,-0,0,0,287.34,0,0,9451.96,0,0,0,0,0,27,0,5
0010289120,1,0,1130.69,1567.17,2224.54,2755.7,3157.58,0,0,0,0,0,0,1,0.6316423284656931,12,SD,City 2608,-0,496.88,401.88,1576.02,0,498,184.8,0,0,0,0,0,3,1,5
0010183432,3,12970.54,25735.15,32377.29,37992.84,40579.25,44219.65,1,2,2,2,2,2,0,0.7688167526701069,10,CA,City 13258,-0,2192.84,23303.15,9211.62,9512.04,0,0,0,0,0,0,0,3,4,5
0010114061,6,46298.53,99841.75,145124.89,156501.28,172979.88,207913.96,2,3,4,4,4,5,0,0.07914039140391396,7,CA,City 2758,-0,184644,0,0,0,1355.56,21914.4,0,0,0,0,0,3,6,5
0010392001,1,767.88,2776.3,4337.43,4739.53,4739.53,4739.53,0,0,0,0,0,0,2,0.9480956191238247,7,KS,City 3588,-0,0,0,2706.19,0,2033.34,0,0,0,0,0,0,3,1,4
0010066279,1,4740.17,4740.17,4740.17,9340.54,9340.54,9340.54,0,0,0,1,1,1,4,0.21703785189259467,6,IA,City 7168,-0,0,0,2280.81,0,1465.05,5594.68,0,0,0,0,0,3,1,2
0010090596,0,0,0,0,0,0,7698.3,0,0,0,0,0,1,5,0.13492174608730437,3,OK,City 5914,-0,1305,3898.05,2495.25,0,0,0,0,0,0,0,1,3,1,1
0010188302,3,8714.85,14262.48,33150.24,34148.41,34519.71,34699.61,1,1,2,2,2,2,0,0.3879999199967999,4,MI,City 4252,-0,0,33200.200000000004,0,1499.4099999999999,0,0,0,0,0,0,0,3,2,4
0010005068,2,7010.1,8226,10681.8,11897.7,16390.5,23786.34,1,1,1,1,1,1,0,0.93936396819841,5,TX,City 7617,0.12843061493020327,3743.88,0,19361.82,680.64,0,0,0,0,0,0,0,3,2,5
0010271078,2,9711.58,9711.58,9711.58,14461.68,27246.89,29223.96,1,1,1,1,2,2,2,0.16896515860634423,9,NE,City 10914,-0,871.13,961.91,99.8,0.02,4820.700000000001,22470.399999999998,0,0,0,0,0,3,2,6
0010085147,0,0,0,3045.5,3315.7,3721,3991.2,0,0,0,0,0,0,2,0.7983996799359871,3,TX,City 13363,-0,0,0,945.7,0,0,3045.5,0,0,0,0,0,3,1,4
0010213290,3,6482.88,11873.11,18456.98,25570.24,31299.16,38663.94,1,1,1,2,2,2,0,0.5465794631785272,5,CA,City 13429,0.026627312783315486,20869.96,17379.16,414.82,0,0,0,0,0,0,0,0,3,3,5
0010088218,2,3265.35,6833.6,10333.3,13761.3,18257.75,22242.15,0,1,1,1,1,1,0,0.8621506075303766,11,CO,City 7510,-0,330.1,15643.45,5136.55,1132.05,0,0,0,0,0,0,0,3,2,5
0010263273,3,0,958,5778.6,14062.86,14062.86,14062.86,0,0,1,1,1,1,3,0.4531656582829141,4,NE,City 4686,-0,0,0,14062.859999999999,0,0,0,0,0,0,0,0,3,4,2
0010203622,1,639.92,1870.23,5986.17,7796.03,9289.39,11546.53,0,0,1,1,1,1,0,0.3273428671433572,10,WI,City 3221,0.022601203873863274,3443.25,2502.19,4086.83,1514.26,0,0,0,0,0,0,0,3,2,5
0010289995,1,2080.23,3532.23,5576.95,7304.75,7771.75,7771.75,0,0,1,1,1,1,1,0.13859442972148608,11,IN,City 12521,-0,1355,0,3125.58,0,229.29000000000002,2043.88,1018,0,0,0,0,3,1,5
0010153716,1,0,0,2749.93,2839.88,2839.88,14418.14,0,0,0,0,0,1,3,0.47093054652732635,12,MT,City 5628,-0,0,89.95,12931.539999999999,0,338.89,1057.76,0,0,0,0,0,3,2,1
0010319719,1,1077,1526.75,2786.05,3415.7,3633.25,4544.25,0,0,0,0,0,0,0,0.9090318063612722,3,CA,City 5480,-0,0,4544.25,0,0,0,0,0,0,0,0,0,3,1,5
0010159839,1,0,0,0,0,0,4969.26,0,0,0,0,0,0,5,0.99405081016203245,10,OK,City 7160,-0,1871.94,0,724.5,148.55,345.47,1878.8,0,0,0,0,1,3,0,1
